	Alcohol	Appellation	Bottle Size	Category	Date Published	Designation	Importer	Price	Variety	Winery	description	points	row	taster	title	url_i
32	20%	Port, Portugal	750 ml	Port/Sherry	4/1/2018	Quinta do Bomfim Vintage	Premium Port Wines, Inc	$65,  Buy Now	Port, Port Blend	Dow's	This quinta, situated in the heart of the Port vineyards, always forms the backbone of Dow's Ports. It makes a densely textured wine, powerful and with immense dusty tannins. These are backed by ripe black fruits, a good balance between sweet and dry, with a good shot of acidity. This complex Port needs to age for many years. Drink from 2028.	94	33	Roger Voss	Dow's 2015 Quinta do Bomfim Vintage  (Port)	https://www.winemag.com/buying-guide/dows-2015-quinta-do-bomfim-vintage-port/
33	12.5%	Sonoma County, Sonoma, California, US	750 ml	Sparkling	4/1/2018	Brut		$85,  Buy Now	Sparkling Blend, Sparkling	Flaunt	This is winemaker Dianna Novy Lee's debut sparkling wine, blending 56% Chardonnay and 44% Pinot Noir and then aging the wine on the lees for three years before release. It impresses from first sip, showing acid-driven raciness and a core of green apple, lime zest and biscuit flavors that linger. It'll serve well as a delicious aperitif or fitting companion for the table.	94	34	Virginie Boone	Flaunt NV Brut Sparkling (Sonoma County)	https://www.winemag.com/buying-guide/flaunt-nv-brut-sparkling-sonoma-county/
34	12.5%	Mosel, Germany	750 ml	White	4/1/2018	Brauneberger Juffer Trocken GG	Loosen Bros. USA	$42,  Buy Now	Riesling	Fritz Haag	Flowery, fragrant aromas of spring blossoms and pink grapefruit belie the power and intensity found on the palate of this bold, steel-touched Riesling. While dry and medium bodied in style, ripe citrus and crisp stone-fruit flavors penetrate deeply. The finish is long, marked by cool strikes of steel and lime acidity.	94	35	Anna Lee C. Iijima	Fritz Haag 2016 Brauneberger Juffer Trocken GG Riesling (Mosel)	https://www.winemag.com/buying-guide/fritz-haag-2016-brauneberger-juffer-trocken-gg-riesling-mosel/
35	16.5%	Paso Robles, Central Coast, California, US	750 ml	Red	4/1/2018	Focus		$105,  Buy Now	Syrah	Justin	Deep and hearty aromas of black currant, caramel, lilac and a touch of roasted oak show on the dense nose of this wine. It is massive on the palate, but with appropriate balancing factors of entrenched acidity and chalky, sticky tannins that hold up the rich flavors of vanilla, black-plum skin and blackberry sauce.	94	36	Matt Kettmann	Justin 2014 Focus Syrah (Paso Robles)	https://www.winemag.com/buying-guide/justin-2014-focus-syrah-paso-robles/
36	13%	Eola-Amity Hills, Willamette Valley, Oregon, US	750 ml	Red	4/1/2018	Canary Hill Vineyard		$63,  Buy Now	Pinot Noir	Ken Wright	Owned by the Wrights, this beautifully proportioned wine is supple and tasty, with berry, cherry and blue plum. The barrel aging adds a dusting of cocoa, and the tannins, ripe and still a bit stiff, add notes of ground coffee.	94	37	Paul Gregutt	Ken Wright 2015 Canary Hill Vineyard Pinot Noir (Eola-Amity Hills)	https://www.winemag.com/buying-guide/ken-wright-2015-canary-hill-vineyard-pinot-noir-eola-amity-hills/
37	13.5%	Douro, Portugal	750 ml	Red	4/1/2018	Charme	Martine's Wines	$95,  Buy Now	Portuguese Red	Niepoort	Rich tannins and concentration are driven both by ripe black fruits and a strongly mineral texture in this wine. The tannins have been smoothed by wood aging, but that's deceptive. Although the silkiness suggests early drinking, the firmer core suggests aging. Go for aging, because this will be an even more impressive wine from 2021.	94	38	Roger Voss	Niepoort 2015 Charme Red (Douro)	https://www.winemag.com/buying-guide/niepoort-2015-charme-red-douro/
38	12.5%	Rheingau, Germany	750 ml	White	4/1/2018	Silberlack Trocken GG	Mionetto USA	$75,  Buy Now	Riesling	Schloss Johannisberger	Forward, pristine fruit and mineral intensity align in this penetrating, complex dry Riesling. It offers luminous yellow peach, nectarine and grapefruit flavors offset by dazzling lemon-lime acidity and a firm strike of steely minerality. The palate is creamy and expansive yet finishes with laser-edged precision. Beautiful already but should continue to improve through 2035 and hold further.	94	39	Anna Lee C. Iijima	Schloss Johannisberger 2015 Silberlack Trocken GG Riesling (Rheingau)	https://www.winemag.com/buying-guide/schloss-johannisberger-2015-silberlack-trocken-gg-riesling-rheingau/
39	15%	Fronsac, Bordeaux, France	750 ml	Red	4/1/2018		Etablissements Thunevin	$22,  Buy Now	Bordeaux-style Red Blend	Château la Vieille Cure	Dense tannins and rich black fruits mark out this ripe wine. Its tannins are cushioned by the concentrated but generous black fruits that were organically grown. The wine has great purity as well as structure. Drink from 2024.	94	40	Roger Voss	Château la Vieille Cure 2015  Fronsac	https://www.winemag.com/buying-guide/chateau-la-vieille-cure-2015-fronsac/
40	8%	Mosel, Germany	375 ml	White	4/1/2018	Berncasteler Doctor Auslese	Winesellers, Ltd	$52,  Buy Now	Riesling	Dr. H. Thanisch (Erben Müller-Burggraef)	While pristine pink grapefruit, pineapple and peach flavors are crisp and concentrated, this lacy, textured auslese is more a showcase of intensely layered minerality. Invigorating and fresh, it offers deeply embedded veins of salt, dusty slate and smoke that reverberate through a long, honey-kissed finish. Drinks beautifully already but should improve from 2021.	94	41	Anna Lee C. Iijima	Dr. H. Thanisch (Erben Müller-Burggraef) 2016 Berncasteler Doctor Auslese Riesling (Mosel)	https://www.winemag.com/buying-guide/dr-h-thanisch-erben-muller-burggraef-2016-berncasteler-doctor-auslese-riesling-mosel/
41	14.8%	Yountville, Napa, California, US	750 ml	Red	4/1/2018	Old Vine Estate Grown		$185,  Buy Now	Cabernet Sauvignon	Grgich Hills	Tight-grained tannins lie beneath a sleek, sophisticated structure of ageworthy complexity in this old-vine wine made from grapes planted in 1959. Intensely layered, it shows wisps of currant, pencil shavings and anise—seasonings for a lush backdrop of brambly blackberry. Enjoy 2023–2033.	94	42	Virginie Boone	Grgich Hills 2013 Old Vine Estate Grown Cabernet Sauvignon (Yountville)	https://www.winemag.com/buying-guide/grgich-hills-2013-old-vine-estate-grown-cabernet-sauvignon-yountville/
42	13.5%	Willamette Valley, Willamette Valley, Oregon, US	750 ml	Sparkling	4/1/2018	Cuvée Extra Brut Methode Champenoise Estate Grown		$65,  Buy Now	Sparkling Blend, Sparkling	Pashey	Estate-grown fruit—principally Pinot Noir with 8% Chardonnay—goes into this impressively complex sparkling wine from Trisaetum. It's rich and deep, showing both power and finesse. A fine bead and light details of cocoa, coconut and cream bring exceptional complexity.	94	43	Paul Gregutt	Pashey 2014 Cuvée Extra Brut Methode Champenoise Estate Grown Sparkling (Willamette Valley)	https://www.winemag.com/buying-guide/pashey-2014-cuvee-extra-brut-methode-champenoise-estate-grown-sparkling-willamette-valley/
