	Alcohol	Appellation	Bottle Size	Category	Date Published	Designation	Importer	Price	Variety	Winery	description	points	row	taster	title	url_i
218	13.5%	Alsace, Alsace, France	750 ml	Red	4/1/2018	Personnelle Réserve	Esprit du Vin	$54,  Buy Now	Pinot Noir	Trimbach	Very pure notes of red cherry fill the nose. The same pure fruit is framed by bright, luminous freshness on the palate, which echoes in flavors of cherry, pepper and licorice. An aromatic, fresh and vivid Pinot made with a light touch.	93	219	Anne Krebiehl MW	Trimbach 2015 Personnelle Réserve Pinot Noir (Alsace)	https://www.winemag.com/buying-guide/trimbach-2015-personnelle-reserve-pinot-noir-alsace/
219	15.5%	Yakima Valley, Columbia Valley, Washington, US	750 ml	Red	4/1/2018	Claire Boushey Vineyard		$40,  Buy Now	Grenache	Two Vintners	Light in color, this wine offers beguiling aromas with notes of fire pit, flower, stem, potpourri, black raspberry and smoked meat. Ethereally light and enchanting, it's texturally rich and flavorful, with a warm finish—a delicious example of this site and variety.	93	220	Sean P. Sullivan	Two Vintners 2015 Claire Boushey Vineyard Grenache (Yakima Valley)	https://www.winemag.com/buying-guide/two-vintners-2015-claire-boushey-vineyard-grenache-yakima-valley/
220	14.9%	Los Carneros, Napa-Sonoma, California, US	750 ml	White	4/1/2018			$42,  Buy Now	Chardonnay	V. Sattui	Beautifully inviting in aromas of caramelized biscuit, vanilla wafer and baked apple, this is a creamy and lush white wine, full bodied and highly ripe in style. A lovely hit of tangerine-laced acidity keeps it fresh and fleshy.	93	221	Virginie Boone	V. Sattui 2015 Chardonnay (Los Carneros)	https://www.winemag.com/buying-guide/v-sattui-2015-chardonnay-los-carneros/
221	13.69%	Ballard Canyon, Central Coast, California, US	750 ml	Red	4/1/2018	Stolpman Vineyard		$45,  Buy Now	Grenache	Whitcraft	Drake Whitcraft is becoming a master at weaving a wide array of sensory experiences into very light wines. This starts with candied pomegranate, fennel bulb and cracked white pepper on the nose, then hits the palate with bright snappy red fruits, heavy peppery spice and a penetratingly bright acid profile. It goes down easy, but with complexity.	93	222	Matt Kettmann	Whitcraft 2016 Stolpman Vineyard Grenache (Ballard Canyon)	https://www.winemag.com/buying-guide/whitcraft-2016-stolpman-vineyard-grenache-ballard-canyon/
222	14.9%	Rutherford, Napa, California, US	750 ml	Red	4/1/2018	Millennium MM Vineyard		$100,  Buy Now	Cabernet Sauvignon	Whitehall Lane	This is a blockbuster wine, full bodied and ripe, yet able to hold its considerable power in check. Its well-integrated oak and sizable structure give it weight and breadth, as well as age-worthy intrigue. Red currant, cedar and cigar box mark the flavor profile. Enjoy best 2024–2034.	93	223	Virginie Boone	Whitehall Lane 2014 Millennium MM Vineyard Cabernet Sauvignon (Rutherford)	https://www.winemag.com/buying-guide/whitehall-lane-2014-millennium-mm-vineyard-cabernet-sauvignon-rutherford/
223	13.6%	Santa Lucia Highlands, Central Coast, California, US	750 ml	Red	4/1/2018	Boekenoogen Vineyard		$49,  Buy Now	Pinot Noir	Wrath	Winemaker Sabrine Rodems manages to tame the richness of this vineyard while retaining its hedonistic joy. Aromas of rose, pomegranate, hibiscus, rhubarb and dark spice lead into pillowy flavors of strawberry, raspberry and clove. This wine feels light and racy yet full of body and flavor.	93	224	Matt Kettmann	Wrath 2015 Boekenoogen Vineyard Pinot Noir (Santa Lucia Highlands)	https://www.winemag.com/buying-guide/wrath-2015-boekenoogen-vineyard-pinot-noir-santa-lucia-highlands/
224	15.6%	Sta. Rita Hills, Central Coast, California, US	750 ml	Red	4/1/2018	Radian Vineyard		$50,  Buy Now	Pinot Noir	Cordant	Paso Robles winemaker Tyler Russell applies that region's rich style to Sta. Rita Hills fruit for massive effect, great for lovers of ripeness and density. Aromas of baked vanilla cake, black cherry, loamy soil and star anise leap from the glass. Then the palate delivers loads of blackberry compote, licorice and clove, letting it all hang out yet bolstered by bright acidity and firm lavish tannins.	93	225	Matt Kettmann	Cordant 2015 Radian Vineyard Pinot Noir (Sta. Rita Hills)	https://www.winemag.com/buying-guide/cordant-2015-radian-vineyard-pinot-noir-sta-rita-hills/
225	14.5%	Santa Maria Valley, Central Coast, California, US	750 ml	Red	4/1/2018	Bien Nacido Vineyard		$45,  Buy Now	Pinot Noir	Dolin	Pomegranate, carnation, dried cranberry, potpourri, baked earth and vanilla cookie all come to the fore on the nose of this light but expressive wine from the historic vineyard. Stewed red cherry and cranberry arise on the palate alongside thyme, peppercorn and the slightest hint of game.	93	226	Matt Kettmann	Dolin 2013 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley)	https://www.winemag.com/buying-guide/dolin-2013-bien-nacido-vineyard-pinot-noir-santa-maria-valley/
226	13.6%	Galilee, Israel	750 ml	Red	4/1/2018	Winemaker's Choice Virtuoso	Allied Importers, USA, Ltd	$25,  Buy Now	Cabernet Sauvignon	Hayotzer	This deep violet-red colored wine has a nose of cassis, lavender and anise. It is surprisingly soft on first sip, with tannins that gradually increase in power while showcasing flavors of black cherry, dark plum, cranberry, fennel bulb and a touch of mint. The slightly grippy finish offers pronounced notes of cherry and orange zest.	93	227	Mike DeSimone	Hayotzer 2014 Winemaker's Choice Virtuoso Cabernet Sauvignon (Galilee)	https://www.winemag.com/buying-guide/hayotzer-2014-winemakers-choice-virtuoso-cabernet-sauvignon-galilee/
227	16%	Paso Robles, Central Coast, California, US	750 ml	Red	4/1/2018	Isosceles		$72,  Buy Now	Bordeaux-style Red Blend	Justin	This flagship bottling is still a whopper of a wine. This vintage, a blend of 73% Cabernet Sauvignon, 15% Cabernet Franc and 12% Merlot, offers barely ripe black cherry, green peppercorn and charred fennel on the nose. The palate is loaded with both savory and ripe flavors, from roasted black plums and charred beef to oregano and dill. Very complex and chalky in texture.	93	228	Matt Kettmann	Justin 2014 Isosceles Red (Paso Robles)	https://www.winemag.com/buying-guide/justin-2014-isosceles-red-paso-robles/
228	13.5%	Willamette Valley, Oregon, US	750 ml	Red	4/1/2018	Abbott Claim Vineyard		$63,  Buy Now	Pinot Noir	Ken Wright	Firm and focused, this young wine has miles to go. It opens with bright raspberry and cherry fruit, then puts on bulk in the midpalate, adding lovely orange-peel highlights. Drinking well this young, it has the structure and depth to add many more layers over the next decade or longer. Drink now through 2030 and beyond.	93	229	Paul Gregutt	Ken Wright 2015 Abbott Claim Vineyard Pinot Noir	https://www.winemag.com/buying-guide/ken-wright-2015-abbott-claim-vineyard-pinot-noir/
229	13.5%	Willamette Valley, Oregon, US	750 ml	Red	4/1/2018	Hirschy Vineyard		$63,  Buy Now	Pinot Noir	Ken Wright	There is a certain high-toned intensity to many of Ken Wright's 2015s, which amps up the young fruit. Here the dominant flavors are ripe strawberry, vivid and layered against firm ripe tannins. There's a touch of coffee and dark chocolate running through the finish. For reasons unknown, this new cuvée bears the old Ken Wright label design.	93	230	Paul Gregutt	Ken Wright 2015 Hirschy Vineyard Pinot Noir	https://www.winemag.com/buying-guide/ken-wright-2015-hirschy-vineyard-pinot-noir/
230	13%	Valtellina Superiore, Lombardy, Italy	750 ml	Red	4/1/2018	La Mossa	Regal Wine Imports Inc	$27,  Buy Now	Nebbiolo	La Perla Marco Triacca	This radiant savory mountain Nebbiolo opens with enticing scents of wild berry, flint, smoke and a whiff of alpine herb. It's elegant and focused, delivering crushed raspberry, Marasca cherry, tobacco and star anise alongside taut refined tannins and bright acidity. It's already tempting but will develop even more complexity over the next several years or more. Drink 2020–2032.	93	231	Kerin O’Keefe	La Perla Marco Triacca 2012 La Mossa  (Valtellina Superiore)	https://www.winemag.com/buying-guide/la-perla-marco-triacca-2012-la-mossa-valtellina-superiore/
231	13%	Franciacorta, Lombardy, Italy	750 ml	Sparkling	4/1/2018	Secolo Novo Riserva Dosage Zero	Lyra Wine	$66,  Buy Now	Chardonnay	Le Marchesine	Enticing scents of yellow stone fruit, acacia and brioche show this wine's Chardonnay pedigree. A refined beading and tangy acidity lend elegance and balance to flavors of creamy yellow pear, apple and lemon. A hint of fennel graces the finish.	93	232	Kerin O’Keefe	Le Marchesine 2009 Secolo Novo Riserva Dosage Zero  (Franciacorta)	https://www.winemag.com/buying-guide/le-marchesine-2009-secolo-novo-riserva-dosage-zero-chardonnay-franciacorta/
232	11.5%	Mosel, Germany	750 ml	White	4/1/2018	Abtsberg Superior Grosse Lage	Loosen Bros. USA	$64,  Buy Now	Riesling	Maximin Grünhäuser	Concentrated tangerine and candied lemon-peel flavors are juxtaposed by complexities of savory earth and smoked nuts. While off dry and sprightly, there's a lusciousness that builds on the midpalate that extends into a long, lavishly fruity finish.	93	233	Anna Lee C. Iijima	Maximin Grünhäuser 2016 Abtsberg Superior Grosse Lage Riesling (Mosel)	https://www.winemag.com/buying-guide/maximin-grunhauser-2016-abtsberg-superior-grosse-lage-riesling-mosel/
233	15.5%	Paso Robles, Central Coast, California, US	750 ml	Red	4/1/2018	1105		$48,  Buy Now	Red Blend	MCV	Deep and dark in the glass, this Petite Sirah-dominant blend offers aromas of pure blackberry jam on the nose with hints of dried wild fennel and charred plum. It's rich and dense on the palate, but vivacious with fresh black-fruit energy and lifted by clove and purple-flower flavors. The acidity is bright, and tannins are firm but set in the background.	93	234	Matt Kettmann	MCV 2015 1105 Red (Paso Robles)	https://www.winemag.com/buying-guide/mcv-2015-1105-red-paso-robles/
234	13.5%	Swartland, South Africa	750 ml	White	4/1/2018	Granite	Skurnik Wines, Inc	$88,  Buy Now	Chenin Blanc	Mullineux	A stunning wine, this opens with scents of golden straw, honeydew rind, firm nectarine and fresh honeycomb that all carry through to the medium-weight mouth. The palate boasts a flinty, mineral texture and bright acidity that lends verve and precision to the notes of toasted apple, spiced orange rind and pressed yellow flowers. Hints of fresh herbs and minty fynbos grace the enduring finish. It sure is delicious now, but try this stunner from 2020–2028.	93	235	Lauren Buzzeo	Mullineux 2015 Granite Chenin Blanc (Swartland)	https://www.winemag.com/buying-guide/mullineux-2015-granite-chenin-blanc-swartland/
235	15%	Sforzato di Valtellina, Lombardy, Italy	750 ml	Red	4/1/2018		Masciarelli Wine Co	$50,  Buy Now	Nebbiolo	Nera	Aromas suggesting steeped prune, dark culinary spice, new leather, tobacco and balsamic notes lead the nose. The aromas follow over to the firmly structured palate along with raisin and licorice, while tightly knit fine-grained tannins and fresh acidity provide the austere framework. A smoky mineral note lingers on the finish. Drink 2019–2026.	93	236	Kerin O’Keefe	Nera 2011  Sforzato di Valtellina	https://www.winemag.com/buying-guide/nera-2011-sforzato-di-valtellina/
236	13%	Douro, Portugal	750 ml	Red	4/1/2018	Tim Grande Reserva	Winesellers, Ltd	$54,  Buy Now	Portuguese Red	Quinta de la Rosa	This new release, a limited production wine from this estate, is named after Tim Bergqvist, the patriarch of the family that owns this property. The wood aging has given richness, almost creamy sweetness to the ripe fruits. The attractive slight oxidation adds complexity to what is already a fine wine. Drink from 2019.	93	237	Roger Voss	Quinta de la Rosa 2015 Tim Grande Reserva Red (Douro)	https://www.winemag.com/buying-guide/quinta-de-la-rosa-2015-tim-grande-reserva-red-douro/
237	19.5%	Port, Portugal	750 ml	Port/Sherry	4/1/2018	Vintage	Maritime Wine Trading Collective	$43,  Buy Now	Port, Port Blend	Quinta Nova de Nossa Senhora do Carmo	Almost black in color, this rich, unctuous wine at first seems smooth. Ripe black-plum and jammy berry fruits are ripe and dense. Behind that generous exterior, firm tannins and a dense structure will allow the wine to age well. Drink after 2026.	93	238	Roger Voss	Quinta Nova de Nossa Senhora do Carmo 2014 Vintage  (Port)	https://www.winemag.com/buying-guide/quinta-nova-de-nossa-senhora-do-carmo-2014-vintage-port/
238	14.8%	Napa Valley, Napa, California, US	750 ml	Red	4/1/2018	BRV Estate Grown		$80,  Buy Now	Cabernet Sauvignon	Trinchero	This wine is richly layered, offering a density of brick, toasty char and dusty rock flavors and aromas—a muscular showing from a warm vintage. Black pepper, leather and dried herbs provide additional complexity around a full-bodied core.	93	239	Virginie Boone	Trinchero 2014 BRV Estate Grown Cabernet Sauvignon (Napa Valley)	https://www.winemag.com/buying-guide/trinchero-2014-brv-estate-grown-cabernet-sauvignon-napa-valley/
239	14.3%	Monterey, Central Coast, California, US	750 ml	Red	4/1/2018	115/667		$35,  Buy Now	Pinot Noir	Wrath	Lots of herbs, dried red currants and cranberry compote aromas show on the nose of this bottling, which has an earthy, gamy undercurrent. The palate tastes like it has more age on it, which is a good thing for now, with flavors of charred wood, damp forest floor, dried fruit and allspice, all riding a squeaky texture.	93	240	Matt Kettmann	Wrath 2015 115/667 Pinot Noir (Monterey)	https://www.winemag.com/buying-guide/wrath-2015-115-667-pinot-noir-monterey/
240	13%	Elgin, South Africa	750 ml	White	4/1/2018	Seven Flags	Pascal/Schildt Selections	$65,  Buy Now	Chardonnay	Paul Cluver	A rich and toasty wine, this opens with abundant aromas of baked apple, honey-roasted nuts, lemon oil and ginger-clove orange peel. The medium-weight palate is round and mouthfilling, but with superb acidity to balance, lifting the ripe fruit flavors and lending a saline lift to the finish. Drink this well-balanced beauty now–2024.	91	241	Lauren Buzzeo	Paul Cluver 2015 Seven Flags Chardonnay (Elgin)	https://www.winemag.com/buying-guide/paul-cluver-2015-seven-flags-chardonnay-elgin/
241	13.5%	Valtellina Superiore, Lombardy, Italy	750 ml	Red	4/1/2018	RedEdition	Angelini Wine	$35,  Buy Now	Nebbiolo	Plozza	This opens with aromas of woodland berry, alpine herb, menthol and whiffs of oak-driven spice. The elegant precise palate delivers sour cherry, cranberry, star anise and a hint of salty mineral set against a backbone of fine-grained tannins and bright acidity. It's still youthfully austere and needs time to fully develop. Drink 2021–2031.	91	242	Kerin O’Keefe	Plozza 2013 RedEdition  (Valtellina Superiore)	https://www.winemag.com/buying-guide/plozza-2013-rededition-valtellina-superiore/
242	14%	Galilee, Israel	750 ml	Red	4/1/2018	Special Reserve	Palm Bay International	$60,  Buy Now	Red Blend	Recanati	This dark garnet colored wine has aromas of black cherry and a faint touch of green bell pepper. Sleek tannins coat the palate as flavors of black cherry, raspberry, smoke, black pepper and eucalyptus cavort towards a lasting, smoky finish.	91	243	Mike DeSimone	Recanati 2014 Special Reserve Red (Galilee)	https://www.winemag.com/buying-guide/recanati-2014-special-reserve-red-galilee/
243	12.5%	Franciacorta, Lombardy, Italy	750 ml	Sparkling	4/1/2018	Gualberto Dosaggio Zero	Franco Wine Imports	$55,  Buy Now	Sparkling Blend, Sparkling	Ricci Curbastro	Brioche, toasted nut, acacia honey and dried apricot aromas follow through to the dry vibrant palate along with yellow apple, nectarine and hint of exotic spice. Bright acidity and a refined perlage provide the backbone while a bitter-almond note marks the close.	91	244	Kerin O’Keefe	Ricci Curbastro 2009 Gualberto Dosaggio Zero  (Franciacorta)	https://www.winemag.com/buying-guide/ricci-curbastro-2009-gualberto-dosaggio-zero-sparkling-franciacorta/
244	10.5%	Rheingau, Germany	750 ml	White	4/1/2018	Tradition	Loosen Bros. USA	$20,  Buy Now	Riesling	Robert Weil	Orange blossoms and crushed mineral tones perfume this delicately off-dry Riesling. Light bodied and spry, the palate is taut, with deeply penetrating high-toned acidity and crunchy peach, tangerine and lemon flavors. Finishes long on notes of lemon zest, fennel and crushed earth.	91	245	Anna Lee C. Iijima	Robert Weil 2016 Tradition Riesling (Rheingau)	https://www.winemag.com/buying-guide/robert-weil-2016-tradition-riesling-rheingau/
245	14.4%	Napa Valley, Napa, California, US	750 ml	Red	4/1/2018			$50,  Buy Now	Cabernet Sauvignon	Smoking Gun	Perfumed lavender opens the way to a softly layered, structured wine that's medium bodied and restrained in tone. Cassis and red cherry are matched by bright, lingering acidity that provides a welcome succulence throughout.	91	246	Virginie Boone	Smoking Gun 2014 Cabernet Sauvignon (Napa Valley)	https://www.winemag.com/buying-guide/smoking-gun-2014-cabernet-sauvignon-napa-valley/
246	14%	Margaret River, Western Australia, Australia	750 ml	Red	4/1/2018	Dirty Boots	Great Australian Wine Company	$27,  Buy Now	Cabernet Sauvignon	Snake and Herring	A typical yet classy example of Margaret River, this wine dishes up notes of dark cherry, currant, tobacco, mocha, eucalyptus and dried green herbs. The medium-bodied palate has soft but chewy tannins, with some apparent oak components and a dark-cherry and green-tinged finish. It's elegant and soft enough to drink now but will age well through 2028.	91	247	Christina Pickard	Snake and Herring 2014 Dirty Boots Cabernet Sauvignon (Margaret River)	https://www.winemag.com/buying-guide/snake-and-herring-2014-dirty-boots-cabernet-sauvignon-margaret-river/
247	14%	Swartland, South Africa	750 ml	White	4/1/2018	Vintage Collection	Saranty Imports	$19,  Buy Now	Chenin Blanc	Spier	Quite pronounced in tropical fruit and floral aromas, this opens with attractive scents of pressed buttercup, honeysuckle and lime lead that frame the guava, pineapple rind and red apple fruit core. Those ripe-fruit tones carry through to the medium-weight palate, with bright, orange-laced acidity to lift. A final note of delicate sweet spice on the way back of the close. Drink now–2022.	91	248	Lauren Buzzeo	Spier 2015 Vintage Collection Chenin Blanc (Swartland)	https://www.winemag.com/buying-guide/spier-2015-vintage-collection-chenin-blanc-swartland/
248	14.2%	Napa Valley, Napa, California, US	750 ml	Red	4/1/2018			$45,  Buy Now	Petite Sirah	Stags' Leap Winery	This red embraces its main variety's ancestral home, blending in 12% Syrah, 10% Grenache and a pinch of other Rhône reds. Peppery and tannic, it shines in blueberry, cedar, dried herb and cinnamon, begging for more time in the bottle. Enjoy best 2019 through 2029.	91	249	Virginie Boone	Stags' Leap Winery 2014 Petite Sirah (Napa Valley)	https://www.winemag.com/buying-guide/stags-leap-winery-2014-petite-sirah-napa-valley/
249	13%	Adelaida District, Central Coast, California, US	750 ml	White	4/1/2018	Esprit Blanc de Tablas		$45,  Buy Now	Rhône-style White Blend	Tablas Creek	Lemon butter and plump pineapple aromas are cut by crushed gravel and an edgy citrus peel character on the nose of this blend of 55% Roussanne, 28% Grenache Blanc and 17% Picpoul Blanc. The Roussanne provides a rich midpalate, full of fleshy but not overripe baked apple flavors, dusted with baking spice and leveled by buoyant acidity.	91	250	Matt Kettmann	Tablas Creek 2015 Esprit Blanc de Tablas White (Adelaida District)	https://www.winemag.com/buying-guide/tablas-creek-2015-esprit-blanc-de-tablas-white-adelaida-district/
250	7%	Mosel, Germany	750 ml	White	4/1/2018	Lieserer Niederberg Helden Spätlese	Leonard Kreusch, Inc	$25,  Buy Now	Riesling	Thanisch	Hits of exotic spice and salt accent rich, ripe streaks of peach, yellow cherry and tangerine in this decadent spätlese. Despite its lavish ripeness, it's a sprightly, revitalizing wine, with zesty acidity and a cool, mineral finish. Drink now through 2025.	91	251	Anna Lee C. Iijima	Thanisch 2016 Lieserer Niederberg Helden Spätlese Riesling (Mosel)	https://www.winemag.com/buying-guide/thanisch-2016-lieserer-niederberg-helden-spatlese-riesling-mosel/
251	14.7%	Paso Robles, Central Coast, California, US	750 ml	Red	4/1/2018	Cultivator		$64,  Buy Now	Bordeaux-style Red Blend	TW Ferm Co.	This small-production wine (just 22 cases) is a blend of 53% Malbec, 42% Cabernet Sauvignon and 5% Merlot that spent 32 months in 35% new French oak. Aromas of caramel, chocolate cake and black cherry are cut by a minty lift. The palate shows similar weight and richness, with flavors of baked strawberry, cinnamon and caramel sauce. It's soft on the palate and chalky in texture, boasting a  butterscotch finish.	91	252	Matt Kettmann	TW Ferm Co. 2014 Cultivator Red (Paso Robles)	https://www.winemag.com/buying-guide/tw-ferm-co-2014-cultivator-red-paso-robles/
252	15.5%	Paso Robles, Central Coast, California, US	750 ml	Red	4/1/2018			$60,  Buy Now	Garnacha, Grenache	Villa Creek	Red and purple flowers meet with crushed slate, turned soil and plump cherry fruits on the nose of this bottling. It's a solid, down-the-middle expression of the grape, with red and black plums, clove and tarragon lifts to the palate.	91	253	Matt Kettmann	Villa Creek 2015 Garnacha (Paso Robles)	https://www.winemag.com/buying-guide/villa-creek-2015-garnacha-paso-robles/
253	7.5%	Mosel, Germany	750 ml	White	4/1/2018	Zeltinger Sonnenuhr Josefberg Old Vines Spätlese	Kysela Père et Fils	$28,  Buy Now	Riesling	Weingut Albert Gessinger	Delicate hints of clay and crushed earth lend savory complexity to this otherwise wildly fruity spätlese. It's unctuously ripe offering loads of summery peach and nectarine flavors but balanced by a spine tingling lemon-lime finish. Drink now through 2025.	91	254	Anna Lee C. Iijima	Weingut Albert Gessinger 2016 Zeltinger Sonnenuhr Josefberg Old Vines Spätlese Riesling (Mosel)	https://www.winemag.com/buying-guide/weingut-albert-gessinger-2016-zeltinger-sonnenuhr-josefberg-old-vines-spatlese-riesling-mosel/
254	13.5%	Monterey, Central Coast, California, US	750 ml	Red	4/1/2018	Alta Loma Vineyard		$39,  Buy Now	Grenache	Wrath	Rounded and ripe aromas of baked strawberry, red plum, dried rose petal and anise show on the nose of this bottling by theater tech-turned-winemaker Sabrine Rodems. The complex texture is still a bit stiff and sticky on the palate, and the flavors are strong and straightforward, with cranberry and sandalwood. It's clean and refreshing overall, but it could use more time.	91	255	Matt Kettmann	Wrath 2015 Alta Loma Vineyard Grenache (Monterey)	https://www.winemag.com/buying-guide/wrath-2015-alta-loma-vineyard-grenache-monterey/
255	14%	Western Cape, South Africa	750 ml	White	4/1/2018	Cartology	Broadbent Selections, Inc	$50,  Buy Now	White Blend	Alheit	This Chenin Blanc-based wine, with 14% Sémillon, is complex, layered and evolving, expressing different waves of flavor and texture with each sip. Initial scents of lanolin and waxy pink apple transition into earthy notes of dried yellow flowers and grass, while the medium-weight palate evokes tart, refreshing flavors of lime leaf, lemon peel and white melon rind. It's zippy and bright in feel, with lively, briny acidity, and the finish shows fantastic evolution that ends on a earthy, forest-foliage note. Drink now–2025.	91	256	Lauren Buzzeo	Alheit 2015 Cartology White (Western Cape)	https://www.winemag.com/buying-guide/alheit-2015-cartology-white-western-cape/
256	13%	Pfalz, Germany	750 ml	Red	4/1/2018	N	Vineyard Brands	$25,  Buy Now	Pinot Noir	August Kesseler	Violets and black cherries perfume this lavish, intensely fruity Pinot Noir. Concentrated in lush black plum and berry flavors, it's a full-bodied and fleshy wine but fringed by soft tannins and a long granite finish. Drink now through 2030.	91	257	Anna Lee C. Iijima	August Kesseler 2015 N Pinot Noir (Pfalz)	https://www.winemag.com/buying-guide/august-kesseler-2015-n-pinot-noir-pfalz/
257	13.5%	Central Coast, Central Coast, California, US	750 ml	Red	4/1/2018	Le Posseur		$26,  Buy Now	Syrah	Bonny Doon	A blend of three vineyards from across the Central Coast, this bottling shows lively aromas of violet and lavender along with black-plum skins and lamb meat. The palate has rosewater, candied rose petals, red plum and a slight maraschino cherry quality.	91	258	Matt Kettmann	Bonny Doon 2013 Le Posseur Syrah (Central Coast)	https://www.winemag.com/buying-guide/bonny-doon-2013-le-posseur-syrah-central-coast/
258	13.5%	Vino Nobile di Montepulciano, Tuscany, Italy	750 ml	Red	4/1/2018		Empson USA Ltd	$40,  Buy Now	Red Blend	Boscarelli	Wild berry, dark culinary spice, purple flower and a whiff of aromatic herb are some of the aromas you'll find on this vibrant red. The elegant medium-bodied palate shows pomegranate, tart cherry, clove and star anise alongside bright acidity and polished tannins. Drink over the next several years.	91	259	Kerin O’Keefe	Boscarelli 2014  Vino Nobile di Montepulciano	https://www.winemag.com/buying-guide/boscarelli-2014-vino-nobile-di-montepulciano/
259	12.5%	Franciacorta, Lombardy, Italy	750 ml	Sparkling	4/1/2018	Dosage Zero	Ortej	$30,  Buy Now	Sparkling Blend, Sparkling	Castel Faglia	Orchard fruit, bread crust and a whiff of wild herb lead the nose. On the racy linear palate, firm acidity and a lively perlage underscore yellow apple, Bartlett pear and lemon zest before the crisp dry finish.	91	260	Kerin O’Keefe	Castel Faglia 2013 Dosage Zero  (Franciacorta)	https://www.winemag.com/buying-guide/castel-faglia-2013-dosage-zero-sparkling-franciacorta/
260	14.5%	Bolgheri Superiore, Tuscany, Italy	750 ml	Red	4/1/2018		Total Beverage Solution	$75,  Buy Now	Red Blend	Castello di Bolgheri	Inviting aromas of black-skinned berry, underbrush and a whiff of ginger lead the nose on this savory blend of Cabernet Sauvignon, Cabernet Franc and Merlot. The structured, juicy palate offers ripe black currant, licorice and black pepper alongside polished tannins. Enjoy through 2024.	91	261	Kerin O’Keefe	Castello di Bolgheri 2015  Bolgheri Superiore	https://www.winemag.com/buying-guide/castello-di-bolgheri-2015-bolgheri-superiore/
261	14.8%	Red Hills Lake County, California, US	750 ml	Red	4/1/2018	Astel		$33,  Buy Now	Petite Sirah	Chacewater	Sweet and spicy sensations complement the deep dark-berry and chocolate flavors of this full-bodied, dry and firmly mouth-gripping wine. Deep and dark describes the color, too, while the texture is drenched with fine-grained tannins that will add to the wine's longevity. Best after 2020.	91	262	Jim Gordon	Chacewater 2014 Astel Petite Sirah (Red Hills Lake County)	https://www.winemag.com/buying-guide/chacewater-2014-astel-petite-sirah-red-hills-lake-county/
262	12.5%	Haut-Médoc, Bordeaux, France	750 ml	Red	4/1/2018		Serge Doré Selections	$65,  Buy Now	Bordeaux-style Red Blend	Château Bellegrave du Poujeau	Densely tannic and full of rich blackberry and black-plum flavors, this is a structured wine. It already balances the fruit and the dry core of tannins, indicating a wine of great potential and richness. Drink from 2022.	91	263	Roger Voss	Château Bellegrave du Poujeau 2015  Haut-Médoc	https://www.winemag.com/buying-guide/chateau-bellegrave-du-poujeau-2015-haut-medoc/
263	14%	Listrac-Médoc, Bordeaux, France	750 ml	Red	4/1/2018		Baron Francois Ltd	$30,  Buy Now	Bordeaux-style Red Blend	Château Cap Léon Veyrin	Continuing the sequence of fine vintages from this estate, this wine is rich, dense and structured. It has plenty of tannins as well as generous black-plum and spice flavors. Wood aging added light toastiness and is smoothing out the fruit. Drink from 2025.	91	264	Roger Voss	Château Cap Léon Veyrin 2015  Listrac-Médoc	https://www.winemag.com/buying-guide/chateau-cap-leon-veyrin-2015-listrac-medoc/
264	14%	Saint-Émilion, Bordeaux, France	750 ml	Red	4/1/2018		1_Not Imported into US	$25,  Buy Now	Bordeaux-style Red Blend	Château Clos Junet	This seven-acre property is located to the west of the city of Saint-Émilion on the chalk plateau. This gives the texture to the wine and also the good exposure has added to its richness. Structured with solid tannins and rich with black damson fruits, the wine is ready to age. Drink from 2023.	91	265	Roger Voss	Château Clos Junet 2015  Saint-Émilion	https://www.winemag.com/buying-guide/chateau-clos-junet-2015-saint-emilion/
265	13.5%	Lussac Saint-Émilion, Bordeaux, France	750 ml	Red	4/1/2018	La Fleur de Château Haut-Piquat	William Harrison Imports	$40,  Buy Now	Bordeaux-style Red Blend	Château Haut-Piquat	Plenty of attention seems to have been lavished on this wine produced from the best parcels on the estate. It offers dense tannins, new-wood mint flavors and an edge of extraction in the bitter-chocolate flavors. With time this will be a rich wine, but one balanced and based around fruit and tannins. Drink from 2023.	91	266	Roger Voss	Château Haut-Piquat 2015 La Fleur de Château Haut-Piquat  (Lussac Saint-Émilion)	https://www.winemag.com/buying-guide/chateau-haut-piquat-2015-la-fleur-de-chateau-haut-piquat-lussac-saint-emilion/
266	13.5%	Listrac-Médoc, Bordeaux, France	750 ml	Red	4/1/2018		Fruit of the Vines, Inc	$29,  Buy Now	Bordeaux-style Red Blend	Château Lestage	One of the properties that forms the Chanfreau family's Listrac holdings, this 103-acre estate has produced a powerful, rich wine. With tannins still evident, it will obviously age. But ripe blackberry fruit gives the wine a juicy future. It will be ready to drink from 2025.	91	267	Roger Voss	Château Lestage 2015  Listrac-Médoc	https://www.winemag.com/buying-guide/chateau-lestage-2015-listrac-medoc/
267	13.5%	Médoc, Bordeaux, France	750 ml	Red	4/1/2018		Luneau USA Inc	$20,  Buy Now	Bordeaux-style Red Blend	Château Tour Prignac	This vast, 360-acre estate has produced a rich, generous wine in 2015. Its berry fruits are bold, ripe, full bodied and lifted by acidity. The wood aging (12 months) is very present but not at all excessive. Since it needs some time, drink from 2023.	91	268	Roger Voss	Château Tour Prignac 2015  Médoc	https://www.winemag.com/buying-guide/chateau-tour-prignac-2015-medoc/
